DEBUG 2025-02-08 18:41:18,198 autoreload File V:\..Dev\Learning-Django\natour\natour_api\views\users.py previous mtime: 1739050770.6056778, current mtime: 1739050877.2920763
DEBUG 2025-02-08 18:41:18,199 autoreload V:\..Dev\Learning-Django\natour\natour_api\views\users.py notified as changed. Signal results: [(<function template_changed at 0x000001AE1EE72A20>, None), (<function translation_file_changed at 0x000001AE2016D620>, None)].
INFO 2025-02-08 18:41:18,199 autoreload V:\..Dev\Learning-Django\natour\natour_api\views\users.py changed, reloading.
INFO 2025-02-08 18:41:19,245 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-08 18:41:19,245 autoreload Waiting for apps ready_event.
DEBUG 2025-02-08 18:41:19,318 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-02-08 18:41:19,345 autoreload Watching dir C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-02-08 18:41:19,346 autoreload Watching dir V:\..Dev\Learning-Django\natour\locale with glob **/*.mo.
DEBUG 2025-02-08 18:41:19,346 autoreload Watching dir C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-02-08 18:41:19,346 autoreload Watching dir C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2025-02-08 18:41:19,346 autoreload Watching dir C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework_simplejwt\token_blacklist\locale with glob **/*.mo.
DEBUG 2025-02-08 18:41:19,346 autoreload Watching dir V:\..Dev\Learning-Django\natour\natour_api\locale with glob **/*.mo.
DEBUG 2025-02-08 18:41:19,346 autoreload Watching dir C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django_prometheus\locale with glob **/*.mo.
DEBUG 2025-02-08 18:41:19,511 utils (0.015) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2025-02-08 18:41:19,515 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-02-08 18:41:19,601 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\asyncio\windows_events.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,601 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1739036232.3296688
DEBUG 2025-02-08 18:41:19,601 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\move.py first seen with mtime 1739036231.8719943
DEBUG 2025-02-08 18:41:19,601 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1739036232.3083265
